"","AGT_CD","N_POLICY","N_VIT","AVG_ANP","AVG_ANP_RIDER","AVG_N_RIDER","AVG_ANP_BASIC","N_POLICY_CAT1_CAT2","N_POLICY_CAT1","N_POLICY_CAT2","N_POLICY_CAT3","N_ACCIDENT","N_CI","N_DISABILITY","N_ENDOWMENT","N_INCOME","N_LIFE","N_MEDICAL","N_OTHERMED","N_PAYOR","N_SAVERS","N_GI","N_MED","N_LI","ANP_OUTLIER","BIN_POLICY","BIN_VIT","BIN_ANP","BIN_ANP_B","BIN_ANP_R","BIN_LIFE","BIN_ENDOWMENT","BIN_ACCIDENT","BIN_CI","BIN_DISABILITY","BIN_INCOME","BIN_MEDICAL","BIN_OTHERMED","BIN_PAYOR","BIN_SAVERS","cluster","SCORE_LIFE","SCORE_MEDIC","SCORE_OTH"
"889",1270,6,0,145.31,52.4083333333333,2.5,92.9016666666667,0,0,4,2,0,1,3,0,0,3,4,1,3,1,7,6,3,0,2,1,1,1,3,2,1,1,2,1,1,2,4,2,1,3,1.5,2.25,1.25
"890",1272,1,0,48.6,4.64,2,43.96,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
"891",1274,105,11,1784.64942857143,149.141714285714,3.07619047619048,1635.50771428571,2,40,48,15,5,36,91,0,1,93,50,3,26,91,213,90,93,50,5,5,5,5,5,5,1,4,5,5,3,5,5,5,5,5,3,4.5,4.75
"892",1275,52,1,213.105192307692,43.9496153846154,1.84615384615385,169.155576923077,0,5,5,42,1,4,29,0,2,29,32,0,23,13,66,38,29,4,4,2,2,2,3,4,1,3,3,4,3,4,1,4,3,1,2.5,2.75,3.5
"893",1276,40,9,257.6695,45.336,3.375,212.3335,0,5,18,17,8,10,30,1,11,29,20,0,16,16,70,41,30,5,4,5,3,3,3,4,4,4,4,4,5,4,1,4,4,5,4,3.5,4
"894",1277,31,0,253.167419354839,18.3022580645161,3.93548387096774,234.865161290323,0,0,22,9,11,15,21,0,12,21,24,2,15,16,63,53,21,1,3,1,3,3,2,4,1,4,4,4,5,4,4,4,4,1,2.5,4.25,4
"895",1278,30,19,434.343333333333,57.388,4.9,376.955333333333,3,3,18,6,4,19,26,0,7,30,18,0,24,26,80,44,30,3,3,5,5,5,4,4,1,4,5,4,4,3,1,5,4,2,2.5,3.25,4.25
"896",1279,9,6,213.713333333333,41.7522222222222,1.33333333333333,171.961111111111,0,0,0,9,0,0,6,3,0,4,2,0,3,3,12,2,7,0,2,4,2,3,3,2,5,1,1,2,1,1,1,2,2,2,3.5,1,1.75
"897",1280,84,14,293.088333333333,71.1080952380952,6.67857142857143,221.980238095238,0,0,71,13,53,63,72,0,70,72,83,2,64,71,260,218,72,4,5,5,3,3,4,5,1,5,5,5,5,5,4,5,5,5,3,4.75,5
"898",1281,13,6,290.152307692308,93.7884615384615,3.30769230769231,196.363846153846,0,2,0,11,0,0,5,0,0,5,3,0,5,1,11,3,5,1,2,4,3,3,4,2,1,1,1,2,1,2,1,2,1,4,1.5,1.25,1.5
"899",1282,69,21,255.731594202899,10.9055072463768,3.36231884057971,244.826086956522,1,1,56,11,11,29,48,5,24,36,49,5,30,34,123,107,41,4,5,5,3,4,1,4,5,4,5,5,5,5,5,5,5,5,4.5,5,4.75
"900",1283,268,32,255.480335820896,68.6356716417911,2.9365671641791,186.844664179104,3,12,109,144,115,87,138,8,90,123,111,3,100,129,482,291,131,30,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"901",1284,17,2,158.660588235294,28.5988235294118,1.41176470588235,130.061764705882,0,0,1,16,0,0,8,1,0,7,10,0,6,3,17,10,8,0,3,3,1,2,2,2,4,1,1,2,1,3,1,3,2,2,3,1.5,2
"902",1285,45,1,264.710222222222,24.4144444444444,2.31111111111111,240.295777777778,2,3,38,2,3,10,17,0,8,17,38,4,9,15,44,60,17,8,4,2,3,4,2,3,1,4,4,3,4,5,5,3,4,1,2,4.5,3.5
"903",1286,101,4,314.068910891089,35.4507920792079,4.1980198019802,278.618118811881,3,9,65,24,43,39,72,8,39,65,67,3,48,71,234,148,73,9,5,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"904",1287,70,11,487.206142857143,227.867,3.22857142857143,259.339142857143,7,2,37,24,12,23,42,0,15,40,42,1,28,38,120,81,40,15,5,5,5,4,5,5,1,5,5,5,5,5,4,5,5,5,3,4.75,5
"905",1288,40,5,187.56375,55.683,2.975,131.88075,0,0,13,27,0,4,19,0,6,19,23,6,6,10,35,39,19,0,4,4,2,2,3,4,1,1,3,3,4,4,5,3,3,2,2.5,4,2.5
"906",1289,55,3,613.020363636364,314.877272727273,1.34545454545455,298.143090909091,0,3,24,28,6,8,24,3,1,27,18,5,5,13,48,32,30,16,4,3,5,4,5,4,5,4,3,4,3,3,5,2,3,5,4.5,3.5,3.25
"907",1290,20,7,197.911,64.4765,2.95,133.4345,0,1,2,17,0,2,6,0,0,5,6,0,4,0,10,8,5,0,3,4,2,2,4,2,1,1,2,2,1,2,1,2,1,2,1.5,1.5,1.5
"908",1291,162,9,534.002283950617,113.84524691358,2.34567901234568,420.157037037037,0,14,125,23,1,14,65,3,13,66,141,3,36,65,167,171,69,26,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,4.75,4.5
"909",1293,15,1,80.2106666666667,2.638,1.33333333333333,77.5726666666667,0,0,0,15,0,0,10,0,0,10,5,0,10,0,20,5,10,0,2,2,1,1,1,3,1,1,1,3,1,2,1,3,1,3,2,1.25,2
"910",1295,41,5,205.352926829268,60.9275609756098,2.02439024390244,144.425365853659,0,0,1,40,0,0,10,1,0,9,23,0,9,2,21,23,10,1,4,4,2,2,4,2,4,1,1,3,1,4,1,3,2,2,3,1.75,2.25
"911",1296,57,8,178.072280701754,67.549649122807,1.68421052631579,110.522631578947,1,1,4,51,0,28,29,1,0,28,18,0,2,4,35,46,29,2,4,4,2,1,4,4,4,1,5,4,1,3,1,2,2,2,4,2.5,2.25
"912",1297,49,35,399.669387755102,136.193265306122,3.59183673469388,263.47612244898,3,2,10,34,4,16,25,2,0,23,28,0,22,18,69,44,25,6,4,5,4,4,5,4,5,4,4,4,1,4,1,4,4,5,4.5,2.5,4
"913",1298,68,21,475.482941176471,22.3673529411765,4.61764705882353,453.115588235294,12,7,36,13,1,41,66,0,7,68,45,12,57,66,190,105,68,16,5,5,5,5,2,5,1,3,5,5,4,5,5,5,5,5,3,4.75,4.5
"914",1299,5,1,337.376,108.92,5.4,228.456,0,0,4,1,2,3,3,0,2,3,4,1,2,2,9,10,3,1,1,2,4,3,5,2,1,3,2,1,3,2,4,2,2,4,1.5,2.75,2
"915",1302,42,10,281.419285714286,42.5054761904762,5.76190476190476,238.91380952381,0,4,20,18,24,22,33,0,3,33,10,0,14,29,100,35,33,0,4,5,3,4,3,4,1,5,5,4,4,3,1,4,5,5,2.5,3.25,4.5
"916",1303,45,2,364.058444444444,19.0095555555556,5.04444444444444,345.048888888889,2,2,34,7,0,33,43,0,29,41,36,2,34,38,115,100,41,6,4,3,4,5,2,5,1,1,5,5,5,5,4,5,5,5,3,4.75,4
"917",1305,39,0,404.275128205128,32.885641025641,3.07692307692308,371.389487179487,2,22,1,14,1,3,39,0,0,39,1,0,36,31,107,4,39,4,4,1,5,5,2,5,1,3,2,5,1,1,1,5,5,1,3,1.25,4.5
"918",1306,4,2,234.73,81.1,2.75,153.63,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,3,3,2,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1
"919",1307,77,2,253.056103896104,62.3062337662338,2.28571428571429,190.74987012987,0,3,29,45,19,18,33,6,0,28,32,1,25,27,104,51,34,12,5,3,3,3,4,4,5,5,5,4,1,4,4,5,4,5,4.5,3.5,4.5
"920",1308,151,17,162.278543046358,22.2608609271523,0.708609271523179,140.017682119205,0,8,121,22,0,9,30,0,0,29,120,2,18,5,53,131,29,12,5,5,2,2,2,4,1,1,4,4,1,5,4,4,2,2,2.5,3.5,2.75
"921",1309,86,11,303.487093023256,93.7561627906977,3.24418604651163,209.730930232558,3,7,32,44,33,32,49,4,6,47,40,2,47,50,179,80,51,17,5,5,4,3,4,5,5,5,5,5,4,5,4,5,5,5,5,4.5,5
"922",1310,305,111,205.610786885246,14.4375737704918,2.71475409836066,191.173213114754,0,18,119,168,98,70,171,0,57,171,159,29,142,152,563,315,171,17,5,5,2,3,1,5,1,5,5,5,5,5,5,5,5,5,3,5,5
"923",1311,80,17,581.544375,122.23425,2.4125,459.310125,5,11,39,25,20,23,38,4,0,36,37,22,11,33,102,82,40,32,5,5,5,5,5,4,5,5,5,4,1,5,5,3,5,5,4.5,4,4.25
"924",1312,22,2,193.929090909091,50.8481818181818,2.40909090909091,143.080909090909,1,2,5,14,1,7,16,1,0,15,5,0,11,6,34,12,16,0,3,3,2,2,3,3,4,3,3,3,1,2,1,3,2,2,3.5,1.75,2.75
"925",1313,38,3,131.765263157895,22.1026315789474,1.10526315789474,109.662631578947,0,1,2,35,0,2,19,0,0,17,14,0,4,1,24,16,17,1,4,3,1,1,2,3,1,1,2,3,1,3,1,2,1,2,2,1.75,1.75
"926",1314,69,6,183.538260869565,29.1131884057971,2.27536231884058,154.425072463768,0,2,47,20,1,4,32,0,13,32,54,0,23,22,78,71,32,2,5,4,2,2,2,4,1,3,3,4,5,5,1,4,4,2,2.5,3.5,3.75
"927",1316,52,2,250.271538461539,34.2884615384615,2.84615384615385,215.983076923077,1,1,25,25,21,31,28,0,13,27,23,0,20,27,96,67,27,3,4,3,3,3,3,4,1,5,5,4,5,4,1,4,4,1,2.5,3.75,4.25
"928",1317,54,5,183.225555555556,22.762962962963,1.48148148148148,160.462592592593,0,1,18,35,25,10,14,1,0,14,26,0,7,10,56,36,15,4,4,4,2,2,2,3,4,5,4,3,1,4,1,3,3,2,3.5,2.5,3.5
"929",1318,32,1,476.0225,109.38875,2.65625,366.63375,0,8,5,19,0,1,20,1,1,20,10,0,2,12,34,12,21,6,3,2,5,5,5,4,4,1,2,4,3,3,1,2,3,4,4,2.25,2.5
"930",1319,69,35,306.184637681159,79.0894202898551,2.88405797101449,227.095217391304,1,2,32,34,1,13,23,3,0,20,46,9,18,19,61,68,23,5,5,5,4,3,4,4,5,3,4,4,1,5,5,4,4,5,4.5,3.75,3.75
"931",1320,60,15,281.597,15.9016666666667,5.48333333333333,265.695333333333,0,9,36,15,30,34,52,1,37,51,41,8,43,43,168,120,52,3,4,5,3,4,2,5,4,5,5,5,5,5,5,5,5,5,4.5,5,5
"932",1322,6,1,227.176666666667,74.3533333333333,6.66666666666667,152.823333333333,0,0,5,1,4,2,5,0,4,5,4,0,5,4,18,10,5,0,2,2,3,2,4,2,1,4,2,2,4,2,1,2,2,4,1.5,2.25,2.5
"933",1324,20,8,308.193,12.947,3.05,295.246,0,3,15,2,0,11,14,0,1,12,12,1,11,11,36,25,12,0,3,4,4,4,1,3,1,1,4,3,3,3,4,3,3,2,2,3.5,2.5
"934",1325,43,2,197.31023255814,9.84604651162791,1.37209302325581,187.464186046512,0,0,14,29,23,3,13,0,0,15,14,0,7,13,56,17,15,2,4,3,2,3,1,3,1,5,2,3,1,3,1,3,3,2,2,1.75,3.5
"935",1326,39,10,227.912564102564,17.8002564102564,2.56410256410256,210.112307692308,2,1,22,14,11,16,18,1,8,16,16,9,11,14,54,49,17,4,4,5,3,3,2,3,4,4,4,3,4,3,5,3,3,5,3.5,4,3.25
"936",1327,56,15,890.4875,483.613214285714,3.28571428571429,406.874285714286,0,9,26,21,0,19,43,2,11,39,29,1,25,32,100,60,41,15,4,5,5,5,5,5,5,1,5,5,5,4,4,5,5,5,5,4.5,4
"937",1328,15,1,217.809333333333,38.7353333333333,4.46666666666667,179.074,0,0,15,0,8,0,8,0,8,8,15,0,8,8,32,23,8,0,2,2,2,3,3,2,1,4,1,2,4,3,1,3,3,4,1.5,2.25,3
"938",1330,33,1,313.197575757576,31.8369696969697,3.36363636363636,281.360606060606,0,1,23,9,0,15,21,0,3,22,31,0,16,22,59,49,22,1,4,2,4,4,2,4,1,1,4,4,4,4,1,4,4,1,2.5,3.25,3.25
"939",1333,24,11,551.540833333333,59.1079166666667,3.125,492.432916666667,0,3,17,4,0,11,19,0,0,19,17,3,6,18,43,31,19,3,3,5,5,5,4,4,1,1,4,3,1,3,5,3,4,2,2.5,3.25,2.75
"940",1334,8,0,249,106.5,5.75,142.5,0,0,3,5,0,0,8,0,6,8,6,0,8,8,24,12,8,0,2,1,3,2,5,2,1,1,1,2,4,2,1,3,3,4,1.5,2,2.25
"941",1337,16,6,121.08125,4.01625,1.5,117.065,1,0,3,12,10,5,5,0,2,5,2,3,3,3,21,12,5,0,2,4,1,1,1,2,1,4,3,2,3,1,5,2,2,2,1.5,3,2.5
"942",1338,8,4,207.74875,41.47625,2.375,166.2725,0,1,6,1,0,0,4,0,1,4,6,2,2,3,9,9,4,1,2,4,2,2,3,2,1,1,1,2,3,2,4,2,2,2,1.5,2.5,1.75
"943",1339,163,14,561.663067484663,88.2138036809816,4.8159509202454,473.449263803681,19,9,84,51,0,106,131,7,5,125,120,34,118,122,371,265,132,32,5,5,5,5,4,5,5,1,5,5,4,5,5,5,5,5,5,4.75,4
"944",1340,41,6,218.369024390244,19.7282926829268,3.26829268292683,198.640731707317,0,1,25,15,0,17,31,1,8,30,27,1,19,20,70,53,31,2,4,4,2,3,2,4,4,1,4,4,4,4,4,4,4,5,4,4,3.25
"945",1341,50,2,224.6126,46.7798,2.98,177.8328,0,1,32,17,3,0,22,0,15,22,44,4,18,19,62,63,22,4,4,3,2,3,3,4,1,4,1,4,5,5,5,4,4,1,2.5,4,4
"946",1342,74,10,373.942297297297,69.7886486486486,4.2027027027027,304.153648648649,5,3,46,20,7,47,61,5,12,58,50,4,50,54,172,113,63,7,5,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4.75
"947",1343,43,7,623.247441860465,84.1472093023256,4.53488372093023,539.10023255814,1,6,18,18,0,18,37,2,3,38,28,0,37,35,109,49,40,13,4,4,5,5,4,5,5,1,5,4,4,4,1,5,5,5,5,3.5,3.75
"948",1344,51,14,395.323529411765,91.0535294117647,3.01960784313725,304.27,0,7,10,34,4,1,36,0,9,36,27,0,20,24,84,37,36,9,4,5,4,4,4,4,1,4,2,4,5,4,1,4,4,2,2.5,3,4
"949",1345,42,5,309.122142857143,15.2590476190476,3.28571428571429,293.863095238095,0,2,26,14,1,20,36,1,7,34,28,0,7,31,75,55,35,7,4,4,4,4,2,4,4,3,5,4,4,4,1,3,5,5,4,3.5,3.75
"950",1346,18,3,208.708333333333,52.21,3.94444444444444,156.498333333333,0,0,11,7,2,0,13,0,1,13,17,0,10,12,37,18,13,0,3,3,2,2,3,3,1,3,1,3,3,3,1,3,3,2,2,2,3
"951",1347,128,2,164.576875,29.7446875,1.8203125,134.8321875,0,2,72,54,8,18,69,0,4,69,86,1,10,33,120,109,69,11,5,3,2,2,2,5,1,4,5,5,4,5,4,3,5,1,3,4.5,4.25
"952",1348,143,28,772.831328671329,335.101188811189,4.07692307692308,437.73013986014,0,25,71,47,20,81,118,1,55,112,88,0,72,108,318,224,113,21,5,5,5,5,5,5,4,5,5,5,5,5,1,5,5,5,4.5,4,5
"953",1349,22,1,253.828181818182,103.027727272727,2.22727272727273,150.800454545455,1,0,1,20,0,6,9,0,0,9,9,0,2,2,13,15,9,0,3,2,3,2,5,2,1,1,3,2,1,2,1,2,2,4,1.5,1.75,1.75
"954",1350,9,6,286.691111111111,13.9111111111111,2.44444444444444,272.78,2,0,5,2,0,3,5,0,0,5,5,3,3,3,11,11,5,2,2,4,3,4,1,2,1,1,2,2,1,2,5,2,2,2,1.5,2.5,1.75
"955",1351,31,8,170.313225806452,24.5661290322581,2.51612903225806,145.747096774194,0,0,8,23,2,5,24,3,2,21,11,0,18,5,49,18,24,1,3,4,2,2,2,4,5,3,3,4,3,3,1,4,2,2,4.5,2.5,3.25
"956",1352,78,37,843.856794871795,41.333717948718,3.8974358974359,802.523076923077,5,2,47,24,0,46,63,0,5,72,50,8,55,58,176,109,72,18,5,5,5,5,3,5,1,1,5,5,4,5,5,5,5,5,3,4.75,4
"957",1353,45,11,527.336666666667,159.091111111111,4.42222222222222,368.245555555556,1,6,21,17,5,23,31,1,0,30,32,2,30,31,97,57,31,15,4,5,5,5,5,4,4,4,5,4,1,4,4,5,5,5,4,3.5,4.5
"958",1354,65,10,405.720769230769,45.3490769230769,2.89230769230769,360.371692307692,0,6,46,13,0,29,48,2,1,45,49,5,9,42,99,84,47,11,5,5,5,5,3,5,5,1,5,5,3,5,5,3,5,5,5,4.5,3.5
"959",1356,24,8,203.877916666667,75.0141666666667,2.29166666666667,128.86375,1,2,1,20,0,6,9,1,0,7,9,0,4,4,17,15,8,1,3,4,2,2,4,2,4,1,3,2,1,2,1,2,2,2,3,1.75,1.75
"960",1357,14,5,562.604285714286,203.027857142857,4.92857142857143,359.576428571429,0,0,10,4,7,5,10,0,6,10,14,0,4,10,31,25,10,4,2,4,5,5,5,3,1,4,3,3,4,3,1,2,3,2,2,2.75,3
"961",1358,110,10,202.429181818182,33.1307272727273,2.59090909090909,169.298454545454,3,8,31,68,36,28,69,3,0,66,38,15,42,45,192,81,69,8,5,5,2,2,2,5,5,5,5,5,1,5,5,5,5,5,5,4,5
"962",1359,30,1,241.075,52.393,3.93333333333333,188.682,0,0,26,4,9,12,17,0,7,17,25,1,12,15,53,45,17,6,3,2,3,3,3,3,1,4,4,3,4,4,4,4,4,1,2,4,3.75
"963",1360,48,14,651.205208333333,79.81125,3.47916666666667,571.393958333333,1,10,14,23,7,13,43,1,11,44,19,1,18,27,95,44,45,12,4,5,5,5,4,5,4,4,4,5,5,4,4,4,4,5,4.5,4.25,4.25
"964",1361,31,1,318.414193548387,38.7467741935484,2.80645161290323,279.667419354839,0,0,30,1,0,13,13,0,0,13,29,2,13,13,39,44,13,7,3,2,4,4,3,3,1,1,4,3,1,4,4,4,3,1,2,3.25,2.75
"965",1363,10,2,209.362,60.378,1.4,148.984,0,1,0,9,0,1,3,0,0,3,6,0,2,0,5,7,3,1,2,3,2,2,4,2,1,1,2,1,1,2,1,2,1,4,1.5,1.5,1.25
"966",1364,57,17,400.194035087719,66.3240350877193,3.92982456140351,333.87,1,1,41,14,2,35,31,2,19,33,38,1,28,32,93,93,35,13,4,5,4,5,4,4,5,3,5,4,5,5,4,5,5,5,4.5,4.75,4.25
"967",1365,30,0,128.222,36.805,2.93333333333333,91.417,2,3,5,20,5,5,29,0,0,29,6,0,27,7,68,11,29,0,3,1,1,1,3,4,1,4,3,4,1,2,1,5,3,1,2.5,1.75,4
"968",1367,35,3,370.189142857143,55.518,1.31428571428571,314.671142857143,0,4,20,11,10,4,8,0,0,8,20,1,7,7,32,25,8,20,4,3,4,4,3,2,1,4,3,2,1,4,4,3,3,2,1.5,3,3
"969",1368,38,7,237.968684210526,70.9618421052631,3.21052631578947,167.006842105263,2,4,13,19,2,13,28,0,2,28,26,0,15,17,62,41,28,1,4,4,3,2,4,4,1,3,4,4,3,4,1,4,4,2,2.5,3,3.75
"970",1369,13,0,98.2669230769231,18.8753846153846,0.846153846153846,79.3915384615385,0,0,8,5,0,5,5,0,0,5,8,0,0,0,5,13,5,0,2,1,1,1,2,2,1,1,3,2,1,2,1,1,1,3,1.5,1.75,1.25
"971",1370,17,6,257.640588235294,61.5723529411765,1.64705882352941,196.068235294118,0,3,2,12,0,2,8,2,0,6,5,0,3,2,13,7,8,1,3,4,3,3,4,2,5,1,2,2,1,2,1,2,2,2,3.5,1.5,1.75
"972",1377,52,0,163.855576923077,38.4898076923077,2.32692307692308,125.365769230769,0,1,35,16,8,3,22,1,10,22,34,2,12,8,50,49,23,2,4,1,2,2,3,4,4,4,2,4,5,4,4,4,3,1,4,3.75,3.75
"973",1378,27,1,362.20037037037,22.6855555555556,6,339.514814814815,0,1,19,7,4,24,25,0,18,25,23,0,20,25,74,65,25,0,3,2,4,5,2,4,1,4,5,4,5,4,1,4,4,1,2.5,3.75,4
"974",1379,13,4,604.461538461538,15.6,4.92307692307692,588.861538461539,0,2,4,7,1,10,13,0,0,13,11,0,11,13,38,21,13,2,2,4,5,5,2,3,1,3,4,3,1,3,1,3,3,2,2,2.25,3
"975",1380,5,0,244.78,85.82,6.4,158.96,0,0,3,2,2,3,4,0,4,4,4,1,4,4,14,12,4,0,1,1,3,2,4,2,1,3,2,2,4,2,4,2,2,4,1.5,3,2.25
"976",1382,20,3,302.3235,100.1945,3.3,202.129,0,3,6,11,2,1,13,0,1,13,13,0,10,10,35,15,13,2,3,3,4,3,5,3,1,3,2,3,3,3,1,3,3,2,2,2.25,3
"977",1383,13,2,445.642307692308,205.826923076923,4.61538461538461,239.815384615385,0,0,10,3,2,7,9,0,0,9,11,0,9,9,29,18,9,6,2,3,5,4,5,2,1,3,3,2,1,3,1,3,3,4,1.5,2,2.75
"978",1384,29,2,245.706896551724,61.3693103448276,3.62068965517241,184.337586206897,0,0,23,6,0,6,16,0,13,14,21,5,15,12,43,45,14,2,3,3,3,3,4,3,1,1,3,3,5,4,5,4,3,2,2,4.25,2.75
"979",1385,6,0,727.86,110,2.83333333333333,617.86,1,0,4,1,0,3,5,0,0,5,4,0,1,5,11,7,5,3,2,1,5,5,5,2,1,1,2,2,1,2,1,1,2,4,1.5,1.5,1.5
"980",1386,12,0,178.503333333333,4.57583333333333,1.41666666666667,173.9275,0,3,9,0,0,0,5,0,1,5,9,0,3,5,13,10,5,0,2,1,2,3,1,2,1,1,1,2,3,2,1,2,2,3,1.5,1.75,1.75
"981",1387,15,5,164.187333333333,21.312,0.866666666666667,142.875333333333,0,1,0,14,0,2,8,3,0,5,7,0,0,3,11,9,8,0,2,4,2,2,2,2,5,1,2,2,1,2,1,1,2,2,3.5,1.5,1.5
"982",1388,1,0,318.54,84.04,3,234.5,0,1,0,0,0,0,1,0,0,1,0,0,1,1,3,0,1,0,1,1,4,3,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1
"983",1389,13,0,145.886923076923,40.0376923076923,2.30769230769231,105.849230769231,0,0,7,6,2,4,7,0,3,6,7,0,2,2,13,14,6,0,2,1,1,1,3,2,1,3,3,2,4,2,1,2,2,3,1.5,2.5,2.25
"984",1391,3,0,98.05,0,0,98.05,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1.25,1
"985",1392,41,2,201.730975609756,30.7517073170732,1.4390243902439,170.979268292683,0,0,19,22,13,4,13,7,0,8,20,4,7,9,42,28,15,6,4,3,2,3,2,2,5,5,3,3,1,4,5,3,3,1,3.5,3.25,3.5
"986",1393,8,0,895.92875,491.1875,3.5,404.74125,0,3,0,5,0,0,8,5,0,3,0,0,7,8,23,0,8,3,2,1,5,5,5,2,5,1,1,2,1,1,1,3,3,4,3.5,1,2.25
"987",1394,10,0,201.635,37.235,3.1,164.4,0,0,4,6,0,0,9,0,1,9,5,0,5,5,19,6,9,0,2,1,2,2,3,2,1,1,1,2,3,2,1,2,2,3,1.5,1.75,1.75
"988",1395,35,8,1467.13371428571,554.401714285714,2.28571428571429,912.732,0,9,5,21,0,4,25,11,4,23,7,0,15,22,62,15,34,13,4,4,5,5,5,4,5,1,3,4,4,2,1,4,4,5,4.5,2.5,3.25
"989",1397,75,2,223.274933333333,15.7910666666667,1.14666666666667,207.483866666667,0,6,49,20,2,1,31,2,7,30,50,0,8,17,58,58,32,7,5,3,2,3,2,4,5,3,2,4,4,5,1,3,4,1,4.5,3,3.5
"990",1400,20,7,361.162,72.7965,5.2,288.3655,0,1,13,6,1,15,18,3,6,14,16,0,17,17,53,37,17,2,3,4,4,4,4,3,5,3,4,3,4,3,1,4,4,2,4,3,3.5
"991",1401,40,3,234.1505,74.09075,2.425,160.05975,0,0,6,34,0,7,31,1,0,30,20,0,13,15,59,27,31,3,4,3,3,2,4,4,4,1,3,4,1,4,1,4,4,2,4,2.25,3.25
"992",1402,30,1,187.034333333333,17.0686666666667,2.73333333333333,169.965666666667,0,1,20,9,9,10,13,1,8,14,24,0,3,11,36,42,15,1,3,2,2,2,2,3,4,4,4,3,4,4,1,2,3,1,3.5,3.25,3
"993",1403,54,19,1163.61814814815,231.240185185185,2.11111111111111,932.377962962963,2,8,7,37,0,14,40,0,1,40,17,3,6,15,61,35,40,12,4,5,5,5,5,5,1,1,4,5,3,3,5,3,4,5,3,3.75,3.25
"994",1404,23,2,258.264347826087,98.3021739130435,4.47826086956522,159.962173913043,0,0,10,13,5,14,17,2,8,15,15,0,12,16,50,37,17,3,3,3,3,2,5,3,5,4,4,3,4,3,1,4,4,2,4,3,3.75
"995",1405,57,3,176.442105263158,17.7859649122807,0.473684210526316,158.656140350877,0,2,55,0,0,0,2,0,0,2,55,0,2,2,6,55,2,6,4,3,2,2,2,1,1,1,1,1,1,5,1,2,2,2,1,2,1.5
"996",1407,8,0,137.18125,25.45875,1,111.7225,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,3,1,1.25,1
"997",1409,10,2,155.901,74.02,3.2,81.881,0,0,0,10,0,0,6,0,0,6,0,0,5,0,11,0,6,0,2,3,1,1,4,2,1,1,1,2,1,1,1,2,1,3,1.5,1,1.5
"998",1411,1,1,120.79,23.59,2,97.2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,2,1,1,2,1,1,1,1,1,1,1,4,1,1,3,1,1.75,1
"999",1412,14,9,1146.06571428571,314.733571428571,3.14285714285714,831.332142857143,2,3,0,9,0,2,7,2,0,5,0,0,4,2,13,2,7,4,2,5,5,5,5,2,5,1,2,2,1,1,1,2,2,2,3.5,1.25,1.75
"1000",1413,4,3,567.5,309.9,4.5,257.6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,4,5,1,1,1,1,1,1,1,1,1,1,4,1,1,1
"1001",1414,2,1,282.425,161.4,2.5,121.025,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,2,3,1,5,1,1,1,1,1,1,1,1,1,1,3,1,1,1
"1002",1416,53,9,540.353018867925,91.737358490566,4.07547169811321,448.615660377358,1,12,22,18,5,23,46,4,5,41,29,0,34,44,129,57,45,13,4,5,5,5,4,5,5,4,5,5,4,4,1,5,5,5,5,3.5,4.75
"1003",1419,46,2,143.095,47.7091304347826,3.15217391304348,95.3858695652174,0,1,14,31,15,19,40,0,6,40,18,0,3,16,74,43,40,2,4,3,1,1,3,5,1,5,5,5,4,3,1,2,4,1,3,3.25,4
"1004",1420,19,0,314.902631578947,21.36,3,293.542631578947,0,1,4,14,4,5,11,0,3,11,17,0,5,6,26,25,11,1,3,1,4,4,2,3,1,4,3,3,4,3,1,2,2,1,2,2.75,2.75
"1005",1421,1,0,1615.41,650.23,3,965.18,0,1,0,0,0,0,1,1,0,0,0,0,1,1,3,0,1,1,1,1,5,5,5,1,4,1,1,1,1,1,1,1,1,4,2.5,1,1
"1006",1422,31,14,226.973225806452,63.9167741935484,1.80645161290323,163.056451612903,1,1,3,26,0,5,23,0,0,23,14,0,3,7,33,19,23,1,3,5,3,2,4,4,1,1,3,4,1,3,1,2,3,2,2.5,2,2.5
"1007",1424,38,2,190.244736842105,74.7052631578947,4.15789473684211,115.539473684211,0,0,23,15,2,3,35,0,15,35,32,0,18,29,84,50,35,0,4,3,2,1,4,4,1,3,2,4,5,4,1,4,5,1,2.5,3,4
