"","AGT_CD","N_POLICY","N_VIT","AVG_ANP","AVG_ANP_RIDER","AVG_N_RIDER","AVG_ANP_BASIC","N_POLICY_CAT1_CAT2","N_POLICY_CAT1","N_POLICY_CAT2","N_POLICY_CAT3","N_ACCIDENT","N_CI","N_DISABILITY","N_ENDOWMENT","N_INCOME","N_MEDICAL","N_OTHERMED","N_PAYOR","N_SAVERS","N_NA"
"455",647,12,2,1055.255,505.950833333333,4.66666666666667,549.304166666667,2,4,4,2,0,7,11,0,0,6,0,11,21,0
"456",649,2,1,469.79,107.54,2.5,362.25,0,2,0,0,0,0,2,0,0,0,0,1,1,0
"457",652,66,25,154.616060606061,26.4325757575758,1.16666666666667,128.183484848485,1,2,36,27,1,8,25,2,0,68,1,8,5,0
"458",654,10,0,779.416,41.228,2.3,738.188,0,4,1,5,0,0,10,3,2,2,0,1,8,0
"459",655,20,8,573.2935,223.911,1.65,349.3825,2,1,1,16,0,3,10,6,0,8,0,3,9,0
"460",656,15,0,395.716,13.7566666666667,3.2,381.959333333333,0,4,4,7,0,5,15,0,0,5,0,11,12,0
"461",657,74,2,190.465675675676,38.0872972972973,2.77027027027027,152.378378378378,0,2,46,26,2,4,47,4,35,62,0,12,66,0
"462",660,47,2,192.437872340425,54.3159574468085,2.12765957446809,138.121914893617,3,1,26,17,4,5,26,0,3,38,0,13,16,0
"463",661,78,22,381.462179487179,91.5734615384615,3,289.888717948718,2,5,46,25,9,25,35,1,12,82,23,40,41,0
"464",662,52,9,674.841346153846,97.5788461538461,3.80769230769231,577.2625,4,4,38,6,0,27,41,1,13,44,1,39,44,0
"465",663,16,2,183.886875,42.13,1.375,141.756875,0,1,0,15,0,1,10,2,0,6,0,8,3,0
"466",664,65,16,116.734769230769,22.9296923076923,1.56923076923077,93.8050769230769,0,0,9,56,1,5,41,0,1,27,0,21,5,0
"467",665,14,5,308.571428571429,40.1107142857143,7.5,268.460714285714,1,0,9,4,28,13,13,0,3,12,0,14,15,0
"468",666,28,0,90.0203571428571,13.6607142857143,1.89285714285714,76.3596428571428,0,1,2,25,0,3,25,1,2,6,0,14,4,0
"469",670,8,0,96.565,6.3125,1.75,90.2525,0,1,0,7,0,0,7,0,0,1,0,7,0,0
"470",671,7,0,185.51,32.8057142857143,1.28571428571429,152.704285714286,1,0,0,6,0,2,2,0,0,4,0,1,0,0
"471",672,130,20,343.922384615385,57.1746153846154,3.96923076923077,286.747769230769,0,11,71,48,76,65,83,1,37,99,0,74,119,0
"472",673,37,4,216.414324324324,37.9789189189189,3.27027027027027,178.435405405405,1,13,7,16,9,8,38,1,0,14,0,26,20,0
"473",674,33,1,202.774242424242,34.1693939393939,2.39393939393939,168.604848484849,0,1,22,10,21,5,16,2,3,25,0,6,21,0
"474",675,53,1,251.050754716981,102.093018867925,2.16981132075472,148.957735849057,1,1,5,46,6,9,34,0,0,40,0,25,14,0
"475",676,79,32,631.634430379747,223.142405063291,3.92405063291139,408.492025316456,0,13,40,26,7,48,65,1,0,52,1,61,84,0
"476",677,27,15,289.16,73.1514814814815,4.48148148148148,216.008518518519,0,3,7,17,1,14,19,3,0,19,0,14,14,0
"477",678,27,0,226.987407407407,57.6922222222222,5.40740740740741,169.295185185185,0,0,22,5,42,18,18,0,15,24,0,11,28,0
"478",679,57,9,364.376315789474,140.702105263158,1.82456140350877,223.674210526316,0,5,0,52,0,0,30,4,0,19,0,29,6,0
"479",680,50,17,445.8156,207.4376,2.1,238.378,6,1,11,32,0,19,34,0,2,26,0,6,19,0
"480",681,19,0,440.88,57.3978947368421,4.89473684210526,383.482105263158,0,3,9,7,0,15,19,1,9,15,0,16,19,0
"481",682,43,3,277.139302325581,85.2683720930233,5.55813953488372,191.870930232558,0,7,21,15,24,18,39,0,26,34,1,36,65,0
"482",683,2,1,310.8,220.8,6,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"483",684,17,1,152.745882352941,0,0.823529411764706,152.745882352941,0,0,7,10,9,2,4,0,0,7,0,2,3,0
"484",685,81,28,575.46024691358,273.885555555556,4.88888888888889,301.574691358025,1,10,47,23,53,48,74,1,43,46,0,49,92,0
"485",686,40,2,858.182,366.5395,5.325,491.6425,6,2,18,14,0,32,38,0,1,31,3,37,72,0
"486",687,116,20,372.515948275862,95.3136206896552,3.56896551724138,277.202327586207,4,12,39,61,8,21,98,12,8,110,2,78,84,0
"487",688,116,6,414.923879310345,125.403879310345,3.80172413793103,289.52,11,0,82,23,12,57,79,1,8,111,12,49,137,0
"488",692,57,2,259.578245614035,114.920175438597,4.68421052631579,144.658070175439,0,3,44,10,40,26,41,2,33,61,0,9,74,0
"489",694,28,8,511.531071428571,155.115,2.03571428571429,356.416071428571,0,6,16,6,0,5,13,3,0,30,15,0,9,0
"490",695,2,0,177.46,94.36,2.5,83.1,0,0,0,2,0,2,2,0,0,0,0,0,0,0
"491",696,51,0,130.439411764706,27.8388235294118,1.35294117647059,102.600588235294,0,0,24,27,20,5,21,1,5,39,1,4,8,0
"492",697,51,1,229.651176470588,75.8150980392157,4.80392156862745,153.836078431373,0,1,36,14,2,22,45,0,30,58,0,40,66,0
"493",698,167,3,185.78245508982,21.7174850299401,1.12574850299401,164.06497005988,0,4,59,104,97,18,25,0,7,110,2,32,36,0
"494",699,31,0,336.742903225806,40.57,4.35483870967742,296.172903225807,0,3,22,6,2,17,23,0,12,38,3,17,30,0
"495",700,40,0,191.33275,46.643,2.025,144.68975,0,0,37,3,16,7,11,0,10,45,1,0,17,0
"496",701,72,12,340.145833333333,75.4686111111111,1.63888888888889,264.677222222222,0,5,2,65,0,3,53,5,0,29,0,29,11,0
"497",702,31,4,712.910967741936,154.113548387097,4.25806451612903,558.797419354839,5,0,20,6,0,22,23,0,0,34,10,27,23,0
"498",703,99,2,255.210606060606,57.5491919191919,1.77777777777778,197.661414141414,0,13,21,65,0,2,67,2,1,52,4,37,23,0
"499",704,50,5,102.1772,9.361,0.58,92.8162,0,0,0,50,0,2,21,0,0,28,0,0,0,0
"500",707,34,2,354.414117647059,41.2291176470588,4.67647058823529,313.185,1,1,28,4,1,26,29,0,10,35,4,28,33,0
"501",708,83,14,142.123253012048,22.9148192771084,1.74698795180723,119.20843373494,0,2,25,56,25,10,32,0,5,58,0,31,16,0
"502",709,28,2,172.512142857143,13.9771428571429,1.32142857142857,158.535,0,6,2,20,0,5,17,0,1,13,0,8,1,0
"503",710,6,3,232.33,41.4,5.83333333333333,190.93,0,0,4,2,6,3,4,0,3,5,0,4,4,0
"504",711,24,2,184.848333333333,41.1616666666667,2.25,143.686666666667,0,1,6,17,0,4,18,0,2,15,0,4,9,0
"505",712,14,4,373.895714285714,128.195,2.78571428571429,245.700714285714,0,0,4,10,3,2,13,6,0,5,0,1,16,0
"506",713,10,0,151.922,42.142,2,109.78,0,0,0,10,0,5,5,0,0,3,0,0,0,0
"507",714,6,4,1697.82833333333,747.678333333333,2.83333333333333,950.15,1,3,1,1,0,2,5,0,0,0,0,1,3,0
"508",715,14,4,219.769285714286,64.0164285714286,2,155.752857142857,0,3,0,11,0,1,4,0,0,6,0,3,0,0
"509",718,2,2,370,0,5,370,1,0,1,0,0,2,2,0,0,1,1,2,2,0
"510",719,7,0,63.5285714285714,0,0,63.5285714285714,0,0,0,7,7,0,0,0,0,0,0,0,0,0
"511",721,48,4,693.470416666667,211.2075,3.5625,482.262916666667,1,9,17,21,4,15,44,11,1,18,1,36,52,0
"512",723,29,1,230.955172413793,40.0506896551724,2.79310344827586,190.904482758621,0,1,24,4,0,10,12,0,3,43,6,6,18,0
"513",726,9,1,277.333333333333,0,5.66666666666667,277.333333333333,0,1,5,3,8,1,9,0,7,8,0,9,9,0
"514",727,41,0,143.955121951219,25.1890243902439,1.68292682926829,118.766097560976,0,3,4,34,0,3,36,0,0,14,0,5,11,0
"515",728,3,0,174.146666666667,0,3,174.146666666667,0,0,1,2,1,0,2,0,1,2,0,2,2,0
"516",730,7,0,259.137142857143,0,2.71428571428571,259.137142857143,0,0,5,2,0,0,7,0,0,6,0,0,6,0
"517",731,5,0,365.38,12,4.8,353.38,1,0,2,2,6,3,3,0,2,2,2,3,5,0
"518",733,3,0,38.0066666666667,1.14666666666667,1,36.86,0,0,0,3,1,0,2,0,0,0,0,1,0,0
"519",736,95,14,1089.66768421053,539.706210526316,3.95789473684211,549.961473684211,9,13,37,36,28,44,82,11,1,66,6,68,87,0
"520",738,10,2,338.08,18,9.3,320.08,0,1,8,1,26,14,11,0,9,9,0,11,13,0
"521",739,217,8,179.89935483871,36.4323963133641,1.94470046082949,143.466958525346,0,6,66,145,128,51,66,13,40,104,4,65,101,0
"522",740,6,2,419.866666666667,13.2,5,406.666666666667,0,1,2,3,0,4,6,0,0,5,1,6,8,0
"523",741,25,7,245.1048,61.3428,2.8,183.762,0,1,4,20,0,3,20,1,0,23,0,14,12,0
"524",742,17,0,216.625294117647,57.0858823529412,5.82352941176471,159.539411764706,0,0,14,3,32,9,10,0,10,19,0,5,20,0
"525",743,18,1,363.977222222222,104.171111111111,3.55555555555556,259.806111111111,0,0,17,1,0,9,10,0,5,18,0,8,20,0
"526",744,74,6,195.987702702703,66.5722972972973,4.14864864864865,129.415405405405,0,1,38,35,49,8,65,0,3,69,0,19,60,0
"527",745,123,35,145.510975609756,3.68390243902439,0.886178861788618,141.827073170732,0,4,21,98,91,7,25,1,0,30,7,22,24,0
"528",746,191,1,207.92942408377,39.7223036649215,1.97905759162304,168.207120418848,0,8,64,119,98,54,71,5,8,92,8,49,113,0
"529",747,42,9,506.134047619048,78.3080952380952,5.33333333333333,427.825952380952,5,4,25,8,1,40,42,0,10,28,3,44,53,0
"530",748,41,14,322.968780487805,56.0541463414634,4.09756097560976,266.914634146341,0,4,23,14,27,31,39,1,7,22,1,12,31,0
"531",750,223,13,145.827399103139,13.3030941704036,1.24215246636771,132.524304932735,0,4,172,47,20,21,67,0,24,189,0,44,33,0
"532",751,27,7,133.049259259259,20.4381481481481,2.51851851851852,112.611111111111,0,0,6,21,3,10,24,0,3,10,0,9,6,0
"533",752,12,5,459.260833333333,88.1983333333333,4.33333333333333,371.0625,2,0,5,5,0,6,13,0,0,5,5,12,9,0
"534",754,84,1,212.065833333333,69.6588095238095,6.39285714285714,142.407023809524,0,3,33,48,35,74,108,0,30,87,5,61,49,0
"535",755,12,0,276.510833333333,33.89,7.33333333333333,242.620833333333,0,1,10,1,28,8,9,0,7,14,3,10,12,0
"536",756,31,18,833.397741935484,404.197096774193,2.48387096774194,429.20064516129,7,14,3,7,0,13,27,0,0,4,0,16,20,0
"537",757,17,0,206.327647058824,31.7047058823529,2.17647058823529,174.622941176471,0,0,12,5,0,2,9,2,0,19,1,5,7,0
"538",758,7,3,215.468571428571,23.0042857142857,3.14285714285714,192.464285714286,0,1,5,1,2,2,4,0,0,8,3,3,3,0
"539",759,7,0,188.428571428571,47.2614285714286,3.14285714285714,141.167142857143,0,0,5,2,4,4,5,1,1,3,0,3,5,0
"540",760,2,0,259.8,79.8,6,180,0,0,1,1,0,1,2,0,1,3,0,2,3,0
"541",761,141,23,369.688014184397,95.0045390070922,2.9290780141844,274.683475177305,8,15,50,68,62,45,77,5,39,76,5,77,87,0
"542",762,34,9,263.354117647059,50.2629411764706,5.76470588235294,213.091176470588,0,1,18,15,6,12,30,0,24,31,0,39,58,0
"543",763,95,2,154.149157894737,34.7936842105263,1.61052631578947,119.35547368421,0,3,48,44,0,1,45,0,2,63,0,15,21,0
"544",764,54,14,232.628518518519,68.2768518518519,4.01851851851852,164.351666666667,0,3,34,17,24,19,33,3,23,49,0,35,51,0
"545",766,44,2,207.245681818182,23.2106818181818,1.20454545454545,184.035,0,2,10,32,8,1,16,0,0,33,0,6,14,0
"546",768,10,0,132.496,41.52,1.8,90.976,0,0,2,8,0,0,6,0,0,10,0,1,3,0
"547",769,13,5,448.75,20.6007692307692,3.30769230769231,428.149230769231,0,1,8,4,0,11,10,0,0,10,0,10,7,0
"548",770,10,4,189.361,37.688,3.2,151.673,0,0,2,8,0,4,9,0,1,6,0,5,1,0
"549",771,8,5,377.24625,96.45375,1.75,280.7925,0,1,0,7,0,1,6,4,0,2,0,2,4,0
"550",772,3,2,861.773333333333,224.943333333333,2.66666666666667,636.83,0,0,3,0,0,0,2,0,0,4,0,0,3,0
"551",773,11,0,423.301818181818,41.4554545454545,4.18181818181818,381.846363636364,0,2,7,2,0,11,10,0,0,6,0,8,12,0
"552",774,27,0,330.414814814815,51.4859259259259,3.2962962962963,278.928888888889,0,2,19,6,5,13,15,3,0,33,2,15,18,0
"553",775,9,1,311.204444444444,8.26666666666667,3,302.937777777778,0,0,5,4,0,1,7,0,0,7,0,2,10,0
"554",776,24,3,242.749583333333,62.8754166666667,4.04166666666667,179.874166666667,0,1,18,5,0,15,15,1,4,30,0,15,27,0
"555",777,17,1,287.107058823529,90.8535294117647,4.82352941176471,196.253529411765,0,0,13,4,2,11,13,0,10,15,0,12,23,0
"556",778,31,6,573.35935483871,72.8509677419355,3.32258064516129,500.508387096774,3,8,16,4,2,10,26,0,0,22,1,15,31,0
"557",780,17,3,604.223529411765,45.2764705882353,3.17647058823529,558.947058823529,2,6,5,4,0,4,16,1,3,9,1,4,17,0
"558",781,2,2,262.54,60,3,202.54,0,0,2,0,0,1,2,0,0,1,0,1,1,0
"559",783,5,0,186.96,7.24,2,179.72,0,0,4,1,0,2,2,0,1,5,0,0,2,0
"560",785,21,0,593.015714285714,167.140476190476,3.19047619047619,425.875238095238,0,6,13,2,0,10,17,5,0,18,0,9,17,0
"561",786,17,3,336.672352941176,113.662941176471,3.70588235294118,223.009411764706,1,4,2,10,0,4,14,2,0,9,0,16,6,0
"562",787,4,0,174.68,6.9,1.25,167.78,0,0,1,3,0,0,1,0,0,4,0,1,1,0
"563",788,12,3,446.853333333333,213.416666666667,1.08333333333333,233.436666666667,0,2,0,10,0,0,4,0,0,9,0,0,0,0
"564",789,13,0,249.843076923077,9.64230769230769,5.84615384615385,240.200769230769,0,1,11,1,18,7,11,0,10,12,0,7,12,0
"565",790,82,11,190.023780487805,18.5476829268293,1.53658536585366,171.476097560976,1,2,43,36,34,26,25,0,13,53,2,4,26,0
"566",793,21,0,250.48380952381,31.1428571428571,4.90476190476191,219.340952380952,0,0,14,7,12,11,14,0,14,19,0,17,21,0
"567",794,7,0,243.275714285714,27.9171428571429,2.14285714285714,215.358571428571,0,5,0,2,0,0,6,0,0,0,0,6,0,0
"568",795,12,10,802.011666666667,227.180833333333,2.33333333333333,574.830833333333,0,0,6,6,0,9,8,6,0,2,3,0,10,0
"569",796,187,25,126.492513368984,13.4110160427807,1.10160427807487,113.081497326203,0,5,55,127,139,31,38,1,6,65,0,26,41,0
"570",797,3,0,156.533333333333,26.1733333333333,1.33333333333333,130.36,0,0,3,0,0,0,0,0,0,6,1,0,0,0
"571",798,23,0,162.714347826087,49.9652173913043,3.73913043478261,112.749130434783,0,0,12,11,19,2,21,0,0,24,0,0,11,0
"572",799,34,1,421.494411764706,130.948235294118,3.79411764705882,290.546176470588,0,2,10,22,21,16,24,0,6,23,0,10,17,0
"573",800,12,0,183.871666666667,44.2008333333333,2.08333333333333,139.670833333333,0,0,2,10,0,0,7,0,0,13,0,2,6,0
"574",801,14,1,382.799285714286,37.1785714285714,2.28571428571429,345.620714285714,0,0,2,12,0,3,14,0,1,2,0,4,8,0
"575",803,4,0,171.7375,83.7,3.5,88.0375,0,0,0,4,0,0,2,0,0,0,0,0,0,0
"576",805,1,1,264,140.4,4,123.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"577",806,5,0,93.97,2.396,0.8,91.574,0,0,0,5,0,0,2,0,0,3,0,2,0,0
"578",807,6,1,114.623333333333,0,0,114.623333333333,0,0,0,6,0,0,0,0,0,6,0,0,0,0
"579",809,88,29,746.184545454546,407.945681818182,3.11363636363636,338.238863636363,0,8,45,35,22,35,51,3,11,59,0,46,83,0
"580",811,141,17,159.608439716312,35.8522695035461,1.92198581560284,123.756170212766,0,4,96,41,5,2,67,0,8,190,1,12,32,0
"581",812,9,0,114.051111111111,20.1744444444444,1.11111111111111,93.8766666666667,0,1,0,8,0,1,4,0,0,4,0,0,0,0
"582",813,118,11,318.869830508475,35.975593220339,6.61016949152542,282.894237288136,0,10,79,29,130,44,114,5,95,103,4,135,160,0
"583",814,55,19,154.039454545454,23.6472727272727,2.83636363636364,130.392181818182,0,0,12,43,4,14,44,1,0,17,0,17,13,0
"584",815,4,4,282.9325,35.7175,4,247.215,0,0,3,1,0,0,4,1,3,1,0,4,4,0
"585",816,88,1,211.066704545455,67.2363636363637,2.73863636363636,143.830340909091,0,0,64,24,27,19,29,0,15,111,13,31,50,0
"586",818,128,45,638.16,144.513984375,4.703125,493.646015625,14,12,65,37,7,95,115,5,41,89,8,123,132,0
"587",819,107,23,598.394485981309,232.383831775701,3.85046728971963,366.010654205607,11,10,62,24,4,47,88,8,11,84,7,63,124,0
"588",821,22,1,319.537727272727,11.8613636363636,2.63636363636364,307.676363636364,0,0,14,8,0,8,18,3,1,21,0,0,13,0
"589",822,325,7,139.750707692308,27.2923384615385,1.94461538461538,112.458369230769,0,5,192,128,1,54,179,0,75,275,3,32,142,0
"590",823,54,0,142.113518518519,40.6948148148148,3.11111111111111,101.418703703704,0,0,18,36,13,15,49,0,0,20,0,25,23,0
"591",824,120,9,301.334333333334,36.1834166666667,1.79166666666667,265.150916666667,8,3,63,46,42,36,49,1,2,94,4,8,47,0
"592",825,196,30,638.437244897959,137.120357142857,4.57142857142857,501.316887755102,13,7,107,69,105,122,175,31,73,116,9,123,192,0
"593",826,187,49,342.253636363636,81.6648128342246,5.35294117647059,260.588823529412,0,14,100,73,194,124,157,4,81,137,3,141,223,0
"594",827,102,4,263.042058823529,50.3973529411765,3.44117647058824,212.644705882353,0,9,32,61,24,14,86,0,29,61,0,56,50,0
"595",828,31,7,116.262258064516,30.1506451612903,2.7741935483871,86.1116129032258,0,1,6,24,9,15,28,0,4,11,0,6,5,0
"596",830,85,28,687.518235294118,96.7247058823529,3.16470588235294,590.793529411765,10,14,38,23,17,26,56,8,20,52,31,37,58,0
"597",831,69,10,310.982028985507,2.96710144927536,2.20289855072464,308.014927536232,0,36,2,31,0,1,69,0,0,1,0,20,58,0
"598",832,28,8,393.9175,40.5932142857143,2.78571428571429,353.324285714286,1,1,22,4,6,13,14,0,2,30,2,7,17,0
"599",834,121,29,217.409090909091,70.6277685950413,3.51239669421488,146.78132231405,3,11,37,70,7,34,103,1,28,92,0,37,58,0
"600",836,136,7,510.373602941176,209.676838235294,4.43382352941176,300.696764705882,0,15,92,29,56,27,85,1,61,165,1,100,155,0
"601",837,47,2,167.634893617021,23.4110638297872,1.95744680851064,144.223829787234,0,1,15,31,28,13,15,1,12,21,0,13,22,0
"602",838,161,87,495.700186335404,60.0951552795031,5.35403726708075,435.605031055901,5,37,87,32,0,172,159,16,56,105,5,178,186,0
"603",839,65,10,293.716307692307,94.151076923077,2.93846153846154,199.565230769231,0,5,18,42,1,3,41,1,4,50,0,9,28,0
"604",840,59,37,385.250169491525,12.6403389830508,2.98305084745763,372.609830508475,0,11,35,13,2,22,43,0,6,48,9,26,35,0
"605",842,23,8,330.301739130435,46.7830434782609,3.82608695652174,283.518695652174,0,1,13,9,4,22,19,7,1,9,0,17,20,0
"606",843,25,13,230.5456,15.9396,2,214.606,0,3,4,18,2,4,17,0,1,4,4,5,13,0
"607",844,24,2,309.2725,33.75,5.29166666666667,275.5225,0,2,20,2,15,11,22,1,15,21,0,15,29,0
"608",845,89,6,199.862134831461,34.0188764044944,2.30337078651685,165.843258426966,0,12,17,60,20,25,48,0,2,77,0,14,38,0
"609",846,23,0,213.849565217391,50.9217391304348,3.34782608695652,162.927826086957,0,4,9,10,5,7,23,0,6,15,0,3,11,0
"610",847,105,0,207.600952380952,35.006380952381,1.62857142857143,172.594571428571,1,0,51,53,49,15,26,0,20,77,1,24,38,0
"611",848,19,0,340.487368421053,134.931052631579,4.21052631578947,205.556315789474,0,2,7,10,2,2,18,0,0,20,0,15,15,0
"612",849,7,2,237.538571428571,104.845714285714,3.28571428571429,132.692857142857,0,2,0,5,0,1,3,0,0,1,0,2,0,0
"613",850,16,1,223.833125,79.25125,5,144.581875,0,0,11,5,13,13,15,0,6,13,0,8,18,0
"614",854,104,25,411.854230769231,24.8555769230769,6.59615384615385,386.998653846154,4,9,68,23,0,218,93,0,53,81,46,103,97,0
"615",855,115,15,610.867391304348,273.929478260869,2.52173913043478,336.937913043478,2,11,66,36,20,35,57,0,0,106,6,45,73,0
"616",856,27,1,230.99,51.142962962963,2.18518518518519,179.847037037037,0,1,18,8,6,4,13,2,5,29,1,6,9,0
"617",857,24,6,167.802083333333,17.1645833333333,1.41666666666667,150.6375,0,2,8,14,0,4,14,0,0,14,0,0,6,0
"618",859,36,1,193.55,39.5091666666667,3.22222222222222,154.040833333333,0,2,10,24,7,21,29,0,5,22,0,2,16,0
"619",862,3,0,236.346666666667,82,4,154.346666666667,0,0,1,2,0,1,1,0,1,2,0,1,1,0
"620",863,41,0,204.037317073171,46.2929268292683,2.31707317073171,157.744390243902,0,1,35,5,0,8,20,0,2,42,0,12,31,0
"621",865,13,0,299.349230769231,0.172307692307692,0.615384615384615,299.176923076923,0,1,0,12,7,0,6,5,0,0,0,1,1,0
"622",866,36,10,259.286666666667,3.10722222222222,3.80555555555556,256.179444444444,0,4,27,5,27,18,25,0,4,30,0,22,22,0
"623",867,39,4,315.097179487179,19.4415384615385,2.02564102564103,295.655641025641,0,3,15,21,16,16,23,5,3,16,0,2,18,0
"624",868,6,4,344.2,0,5.16666666666667,344.2,0,0,4,2,0,4,6,0,4,5,0,7,5,0
"625",869,25,5,184.2976,0,0.16,184.2976,0,3,21,1,0,0,4,0,0,21,0,0,0,0
"626",870,21,8,371.657142857143,5.54285714285714,4.42857142857143,366.114285714286,5,4,9,3,0,9,21,0,8,8,7,21,19,0
"627",872,3,3,1290.66666666667,612,2.33333333333333,678.666666666667,0,2,0,1,0,0,3,1,0,0,0,0,4,0
"628",875,1,0,71.9,0,0,71.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"629",876,18,0,262.830555555556,29.4472222222222,1.44444444444444,233.383333333333,0,1,14,3,0,4,7,2,0,16,0,0,10,0
"630",878,11,1,262.591818181818,81.7090909090909,4.27272727272727,180.882727272727,0,0,1,10,0,1,1,0,0,4,0,1,1,0
"631",879,2,0,344.675,132.25,4.5,212.425,0,1,0,1,0,0,1,0,0,0,0,1,1,0
"632",880,20,3,223.4795,61.4225,2.55,162.057,1,2,7,10,0,2,15,0,1,18,0,2,11,0
"633",882,3,0,153.023333333333,33.2,1.66666666666667,119.823333333333,0,0,1,2,0,0,1,0,0,3,0,1,1,0
"634",884,2,0,207.28,112.8,2,94.48,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"635",885,21,2,188.654285714286,32.5047619047619,1.19047619047619,156.149523809524,0,0,10,11,8,2,6,0,0,11,0,4,8,0
"636",888,61,0,144.508524590164,29.4993442622951,1.83606557377049,115.009180327869,0,0,38,23,40,3,21,0,18,52,0,16,0,0
"637",889,44,3,280.811363636364,53.1047727272727,3.90909090909091,227.706590909091,0,12,11,21,7,15,37,0,3,26,0,33,28,0
"638",890,47,7,128.434042553191,5.08914893617021,0.702127659574468,123.344893617021,0,5,0,42,0,2,22,0,0,24,0,4,0,0
"639",892,50,0,133.2518,13.4456,2.16,119.8062,0,1,15,34,42,29,13,0,3,20,0,12,25,0
"640",893,51,0,354.739411764706,36.9764705882353,2.82352941176471,317.762941176471,0,1,29,21,31,31,21,0,0,38,1,21,31,0
"641",894,36,1,1901.04611111111,1296.52833333333,2.25,604.517777777778,0,15,1,20,0,1,32,13,0,1,0,5,34,0
"642",896,109,43,1485.66339449541,1029.08293577982,2.22018348623853,456.580458715596,6,18,46,39,37,22,51,1,10,68,15,13,75,0
"643",897,19,0,400.916315789474,32.5205263157895,4.36842105263158,368.395789473684,0,2,13,4,0,11,15,0,11,13,0,13,23,0
"644",898,12,3,236.74,91.8508333333333,3.33333333333333,144.889166666667,0,0,1,11,0,4,4,0,0,0,0,0,0,0
"645",899,45,5,800.460666666667,257.493777777778,2.04444444444444,542.966888888889,0,7,4,34,2,0,25,4,3,28,0,25,16,0
"646",901,22,0,2418.48772727273,1410.17272727273,2.13636363636364,1008.315,2,6,9,5,0,9,17,1,0,7,0,1,13,0
"647",902,25,0,196.6632,25.4256,4,171.2376,0,0,18,7,1,13,20,0,7,25,0,12,12,0
"648",903,9,1,383.437777777778,23.9355555555556,5.66666666666667,359.502222222222,3,1,5,0,0,9,8,0,4,6,6,9,10,0
"649",904,50,2,106.0072,13.3988,0.9,92.6084,0,0,14,36,29,5,10,0,3,25,1,4,8,0
"650",906,112,20,255.984910714286,78.5849107142857,2.13392857142857,177.4,0,6,22,84,14,39,61,0,3,56,0,6,25,0
"651",910,14,1,347.924285714286,46.2757142857143,3.07142857142857,301.648571428571,0,2,6,6,2,2,8,0,0,10,5,6,12,0
"652",911,13,1,256.892307692308,86.1230769230769,3.69230769230769,170.769230769231,0,0,9,4,0,9,13,0,0,2,0,0,24,0
"653",912,41,3,301.805609756098,88.6578048780488,5.85365853658537,213.147804878049,0,3,28,10,84,24,32,5,24,27,0,9,48,0
"654",913,4,0,133.055,0.29,3.25,132.765,0,0,2,2,0,1,4,0,2,2,0,2,2,0
"655",915,51,2,387.569411764706,55.1417647058823,4.64705882352941,332.427647058823,0,5,38,8,28,37,39,0,1,56,5,39,46,0
"656",916,19,0,223.336842105263,87.6631578947369,4,135.673684210526,0,1,6,12,1,5,16,0,0,20,0,11,15,0
"657",917,20,0,209.711,69.7915,3.65,139.9195,0,0,3,17,2,6,13,0,1,16,0,15,10,0
"658",918,3,0,294.8,14.8,7.33333333333333,280,0,0,3,0,4,2,3,0,3,3,0,3,4,0
"659",919,6,0,407,1.91666666666667,3.5,405.083333333333,0,0,5,1,0,3,6,0,0,5,0,2,5,0
"660",920,35,1,222.16,61.1522857142857,3.48571428571429,161.007714285714,0,2,13,20,9,7,26,0,12,29,0,23,15,0
"661",922,16,3,337.19875,49.141875,2.875,288.056875,0,3,9,4,8,1,9,0,4,14,0,10,7,0
"662",923,72,36,289.32875,38.1686111111111,3.29166666666667,251.160138888889,2,4,55,11,0,38,45,1,24,76,4,33,43,0
"663",924,22,1,175.123636363636,44.1318181818182,2.72727272727273,130.991818181818,0,2,9,11,1,3,12,0,2,18,0,9,10,0
"664",925,43,0,384.41023255814,90.76,4.34883720930233,293.65023255814,0,3,24,16,15,11,38,4,3,40,3,44,46,0
"665",927,12,0,366.7925,185.905833333333,5.25,180.886666666667,3,0,0,9,0,3,5,1,0,0,0,5,4,0
"666",928,83,20,245.08843373494,12.495421686747,1.92771084337349,232.593012048193,0,3,21,59,53,24,28,1,21,25,2,31,31,0
"667",930,36,2,176.776111111111,25.1738888888889,1.11111111111111,151.602222222222,0,1,28,7,0,1,7,0,0,49,0,6,0,0
"668",931,16,0,540.90375,47.3825,5,493.52125,0,3,7,6,3,18,15,1,9,9,0,7,18,0
"669",933,20,0,1226.497,362.523,2.3,863.974,0,8,2,10,0,1,13,0,0,7,0,5,10,0
"670",934,30,0,276.878,53.6033333333333,3.56666666666667,223.274666666667,0,2,19,9,0,13,17,1,0,37,4,20,28,0
"671",935,3,0,163.903333333333,0,0,163.903333333333,0,0,0,3,0,0,0,0,0,3,0,0,0,0
"672",936,2,0,140.305,0,0,140.305,0,0,0,2,0,0,0,0,0,2,0,0,0,0
"673",938,98,34,324.146020408163,67.8051020408164,1.98979591836735,256.340918367347,3,8,32,55,40,41,56,5,8,14,1,29,48,0
